rating_year,nb_notes,note_moyenne,nb_utilisateurs,nb_films
1996,6040,3.54,97,607
1997,1916,3.73,33,649
1998,507,3.44,11,333
1999,2439,3.77,27,1013
2000,10061,3.39,56,2380
2001,3922,3.51,38,1831
2002,3478,3.61,25,1713
2003,4014,3.5,31,2078
2004,3279,3.51,24,1821
2005,5813,3.43,43,2380
2006,4059,3.49,43,1571
2007,7114,3.31,46,2881
2008,4351,3.66,41,1879
2009,4158,3.39,45,2106
2010,2301,3.46,36,1392
2011,1690,3.78,38,1073
2012,4656,3.64,44,2084
2013,1664,3.88,30,1024
2014,1439,3.51,21,1019
2015,6616,3.51,55,2404
2016,6703,3.69,47,2399
2017,8198,3.35,58,3309
2018,6418,3.39,49,3349
