userId,nb_notes,note_moyenne_utilisateur
414,2698,3.39
599,2478,2.64
474,2108,3.4
448,1864,2.85
274,1346,3.24
610,1302,3.69
68,1260,3.23
380,1218,3.67
606,1115,3.66
288,1055,3.15
249,1046,3.7
387,1027,3.26
182,977,3.51
307,975,2.67
603,943,3.51
298,939,2.36
177,904,3.38
318,879,3.76
232,862,3.25
480,836,3.28
608,831,3.13
600,763,2.99
483,728,3.62
590,728,3.36
105,722,4.12
19,703,2.61
305,677,3.92
489,648,3.02
111,646,3.34
438,635,3.36
217,613,2.76
140,608,3.5
477,600,3.74
555,578,3.46
91,575,3.4
28,570,3.02
219,528,3.17
534,520,3.8
89,518,3.47
64,517,3.77
226,507,3.48
561,505,3.37
18,502,3.73
525,500,3.54
57,476,3.39
381,474,3.54
368,469,2.84
509,467,3.22
469,465,3.67
560,458,3.57
462,455,3.41
292,446,3.3
21,443,3.26
597,443,3.98
42,440,3.57
294,437,2.61
160,437,2.71
580,436,3.53
596,411,3.5
202,403,3.82
275,403,4.09
517,400,2.39
45,399,3.88
156,398,3.69
514,397,3.31
391,386,3.72
567,385,2.25
357,383,3.96
103,377,3.91
339,371,4.07
62,366,4.08
199,363,3.4
125,360,3.86
51,359,3.78
132,347,3.04
66,345,4.02
313,340,3.43
200,334,3.81
221,331,4.13
6,314,3.49
453,311,3.94
50,310,2.78
425,306,3.53
428,300,2.64
573,299,4.21
352,294,3.78
84,293,3.69
122,292,4.55
382,291,3.51
356,289,4.02
239,279,4.03
135,279,3.63
365,277,2.75
484,275,3.81
104,273,3.51
63,271,3.63
325,270,3.54
169,269,4.25
290,267,4.14
332,267,3.6
495,265,4.01
432,260,3.65
187,258,3.78
328,255,3.23
222,250,3.17
212,248,3.59
330,247,3.69
20,242,3.59
282,237,4.03
372,236,3.36
434,233,3.78
1,232,4.37
594,232,3.92
562,231,4.09
198,230,3.49
82,227,3.38
354,226,3.73
186,226,4.08
312,223,3.71
605,221,3.21
41,217,3.25
304,216,3.87
4,216,3.56
119,215,4.18
563,213,3.3
73,210,3.71
263,210,3.72
586,208,4.37
220,207,3.96
246,204,4.25
452,202,4.56
234,202,3.5
385,201,3.4
522,200,3.83
280,196,3.9
139,194,2.14
570,191,3.42
166,190,4.07
317,189,3.73
552,188,3.12
195,187,3.53
607,187,3.79
520,186,3.88
367,185,3.86
479,181,3.32
266,180,3.5
153,179,2.22
74,177,4.27
279,176,3.65
256,174,3.95
167,173,3.44
141,168,3.54
331,168,3.63
95,168,4.06
410,167,4.06
527,167,4.12
80,167,4.26
587,165,3.98
117,165,3.34
346,164,3.68
216,164,3.66
265,163,3.35
577,161,3.57
564,157,3.58
33,156,3.79
475,155,4.41
572,155,4.12
419,155,3.8
334,154,3.42
7,152,3.23
326,152,4.02
287,152,2.62
260,152,3.76
233,150,3.3
247,150,3.75
113,150,3.65
100,148,3.95
408,141,4.09
351,141,3.67
137,141,3.98
420,141,3.82
47,140,3.05
10,140,3.28
559,140,3.29
129,140,3.92
230,139,2.86
210,138,4.08
424,138,3.67
464,138,3.75
27,135,3.55
15,135,3.45
602,135,3.39
184,134,3.71
376,133,4.06
377,131,3.91
524,131,3.46
52,130,4.48
369,129,3.39
268,129,3.27
482,128,3.41
240,128,3.91
314,128,3.05
144,128,3.63
254,127,3.98
109,127,3.22
411,127,3.26
409,126,3.84
551,123,3.72
393,123,3.84
437,122,3.8
23,121,3.65
492,121,3.87
405,120,4.01
76,119,3.08
22,119,2.57
83,118,3.31
181,118,2.94
465,115,4.16
308,115,2.43
301,114,3.32
43,114,4.55
466,113,3.93
490,113,3.16
542,113,3.51
571,112,2.57
115,112,3.77
306,112,3.32
58,112,3.9
488,111,3.88
136,111,3.32
24,110,3.65
201,110,4.1
362,109,4.24
510,108,2.9
59,107,4.36
322,107,3.41
286,106,3.79
436,106,3.18
17,105,4.21
593,103,3.27
309,103,3.84
40,103,3.77
412,102,3.89
32,102,3.75
601,101,4.43
39,100,4.0
373,100,3.19
604,100,3.48
323,98,3.17
215,98,3.91
16,98,3.72
159,97,3.27
361,97,3.18
93,97,4.29
503,95,3.34
227,94,4.2
592,94,3.59
168,94,4.46
415,94,4.09
244,93,3.77
418,93,3.64
370,93,3.55
422,93,3.32
98,92,3.91
353,90,3.49
211,89,3.9
554,89,4.0
426,88,3.68
284,88,3.72
116,87,3.44
504,87,3.82
541,87,3.39
34,86,3.42
500,86,3.24
191,85,3.74
446,84,3.21
427,84,3.1
213,84,3.83
204,83,3.96
553,83,4.34
584,83,4.11
460,82,4.2
171,82,4.63
390,81,3.84
29,81,4.14
470,80,3.51
96,78,3.88
38,78,3.22
447,78,3.87
445,77,3.86
178,77,4.09
337,77,4.21
241,76,3.98
108,76,3.99
543,76,4.45
225,75,3.65
523,75,4.69
223,75,3.27
359,74,3.42
566,74,3.54
579,73,3.97
528,73,3.47
401,72,3.53
297,72,2.6
143,71,3.32
86,70,3.93
384,70,3.09
344,69,3.77
131,69,3.44
476,69,3.68
179,69,3.78
75,69,3.23
386,68,2.75
417,67,4.46
174,67,3.66
190,66,3.91
342,66,2.94
112,65,3.59
165,65,3.54
229,65,3.74
235,65,3.65
546,64,3.44
79,64,4.2
491,64,4.16
310,64,3.53
11,64,3.78
152,63,4.02
70,62,4.32
345,62,3.9
101,61,3.56
78,61,3.16
395,61,3.05
493,61,3.69
585,61,4.34
404,60,3.4
36,60,2.63
343,59,4.06
458,59,4.15
151,59,3.54
430,58,3.74
526,58,4.19
121,58,3.29
429,58,3.98
149,58,2.72
267,57,4.18
455,57,3.46
262,57,3.11
183,57,3.82
413,56,4.41
582,56,4.03
123,56,4.04
487,56,3.14
583,56,3.29
336,56,4.32
88,56,4.04
321,56,3.57
94,56,3.04
102,56,3.36
588,56,3.25
486,56,4.02
264,56,3.56
558,56,3.93
273,55,4.0
348,55,4.67
224,54,4.26
591,54,3.28
90,54,4.07
316,53,3.0
99,53,3.87
303,53,3.91
261,53,3.86
341,52,3.8
511,52,4.13
110,51,3.73
416,51,3.07
450,51,4.0
248,51,3.75
497,51,3.57
124,50,3.99
31,50,3.92
512,50,3.78
170,50,3.34
457,50,3.46
532,50,4.28
237,50,3.36
188,48,4.4
148,48,3.74
378,48,4.0
327,48,4.1
14,48,3.4
402,48,3.85
44,48,3.35
537,47,4.06
185,47,3.53
8,47,3.57
253,47,4.35
155,46,3.61
9,46,3.26
56,46,3.8
69,46,4.37
398,46,4.25
441,45,4.52
72,45,4.16
501,45,3.2
347,45,3.56
454,45,3.77
203,45,3.84
5,44,3.64
238,44,3.68
255,44,2.57
400,43,4.51
271,43,3.19
456,43,3.81
540,42,4.0
506,42,3.26
46,42,4.0
444,42,3.81
435,42,4.32
358,41,3.26
295,41,3.74
371,41,4.55
276,41,4.39
581,40,4.38
536,40,3.4
350,40,3.25
589,40,4.03
270,40,3.2
521,40,3.6
161,39,3.83
338,39,2.94
61,39,4.05
3,39,2.44
252,38,4.2
533,38,4.38
539,38,3.8
142,38,3.82
162,38,4.24
126,38,3.29
449,38,3.29
443,37,4.12
473,37,3.42
349,37,3.73
609,37,3.27
421,37,4.11
538,37,4.47
67,36,3.97
285,36,3.96
243,36,4.14
176,36,4.06
379,36,3.39
97,36,4.19
399,36,3.94
164,36,4.25
575,36,3.17
197,35,3.86
193,35,3.8
209,35,4.24
319,35,4.43
502,35,3.43
134,35,3.57
242,35,3.6
133,35,3.0
498,35,4.06
71,35,3.6
283,35,3.31
154,34,4.38
65,34,4.03
30,34,4.74
403,34,3.76
107,34,3.91
383,34,3.79
451,34,3.79
85,34,3.71
389,34,4.12
106,33,4.44
440,33,3.89
48,33,4.03
374,33,3.64
375,33,3.91
468,33,3.39
54,33,3.03
463,33,3.79
315,33,3.36
128,33,4.36
300,32,4.3
196,32,3.94
556,32,4.08
12,32,4.39
513,32,3.89
146,32,3.14
302,32,4.0
114,31,3.44
366,31,3.95
272,31,3.63
291,31,4.26
13,31,3.65
505,31,4.18
481,31,2.81
363,30,3.3
535,30,2.67
236,30,3.97
77,29,4.0
2,29,3.95
472,29,4.12
269,29,3.62
565,29,3.66
259,29,3.12
496,29,3.41
388,29,3.62
471,28,3.88
550,28,4.11
396,28,3.14
335,28,3.68
340,28,4.21
311,28,2.34
130,28,3.54
277,28,3.57
461,27,2.94
205,27,3.87
296,27,4.17
557,27,3.85
250,27,4.22
530,27,3.78
499,27,3.83
578,27,3.96
548,26,4.1
515,26,4.85
355,26,3.88
459,26,4.35
519,26,4.33
25,26,4.81
218,26,3.37
172,26,3.83
81,26,2.77
516,26,3.69
158,26,3.42
208,26,3.31
150,26,3.58
333,25,2.64
258,25,4.2
206,25,4.04
173,25,3.48
392,25,3.2
228,25,3.74
55,25,2.84
529,25,3.2
360,25,3.36
231,24,3.85
175,24,3.54
518,24,3.54
289,24,3.63
180,24,3.56
508,24,2.15
92,24,3.94
299,23,3.65
397,23,3.96
251,23,4.87
329,23,2.87
568,23,4.13
545,23,3.37
